Selected: LSM9DS1
Connection established: True
54.52 -33.466
54.81 -33.814
54.694 -33.408
55.216 -33.118
54.636 -32.48
55.854 -32.77
55.448 -32.828
53.882 -30.682
39.092 -14.268
33.466 5.162
31.262 19.488
29.116 24.534
8.584 9.918
-24.476 -5.974
6.902 5.162
42.282 16.646
29.522 6.206
3.364 8.12
60.262 17.052
1.334 -18.27
-21.576 -12.47
-11.716 -12.934
54.636 14.732
28.536 38.106
22.736 47.618
13.688 37.468
14.79 26.39
37.7 -8.526
22.794 -55.332
27.608 -49.706
58.812 18.502
75.516 24.592
77.488 23.78
9.396 -1.566
-57.13 -28.246
-58.986 -28.536
30.914 -1.798
39.672 -7.54
40.948 -12.354
40.716 -12.992
39.846 -11.89
40.194 -12.818
40.426 -12.47
39.904 -13.282
40.832 -12.818
40.252 -12.528
41.064 -12.296
